kod_ucznia,rok,rocznik,plec,poczta,wojewodztwo,zainteresowanie,poziom_stypendium
65391,1999,1982,K,Oświęcim,małopolskie,muzyka,2
65391,2000,1982,K,Oświęcim,małopolskie,muzyka,3
473441,2009,1991,K,Szczecin,zachodniopomorskie,humanistyka,1
303595,2006,1989,K,Wielbark,warmińsko-mazurskie,biologia,1
844468,2001,1985,M,Katowice,śląskie,informatyka,1
844468,2002,1985,M,Katowice,śląskie,informatyka,3
844468,2003,1985,M,Katowice,śląskie,informatyka,3
883541,2002,1987,M,Kraków,małopolskie,informatyka,1
889018,2005,1987,K,Warszawa,mazowieckie,humanistyka,2
357132,2006,1996,K,Opole,opolskie,matematyka,1
357132,2007,1996,K,Opole,opolskie,matematyka,1
357132,2008,1996,K,Opole,opolskie,matematyka,1
357132,2009,1996,K,Opole,opolskie,matematyka,2
357132,2010,1996,K,Opole,opolskie,matematyka,2
837297,2001,1984,K,Radomsko,łódzkie,chemia,1
837297,2002,1984,K,Radomsko,łódzkie,chemia,3
614530,2009,1993,K,Dębowa Kłoda,lubelskie,humanistyka,1
614530,2010,1993,K,Dębowa Kłoda,lubelskie,humanistyka,1
402759,1998,1980,K,Siedlce,siedleckie,humanistyka,1
909071,2010,1993,M,Rawa Mazowiecka,łódzkie,chemia,1
859347,1997,1981,M,Bydgoszcz,bydgoskie,historia,1
859347,1997,1981,M,Bydgoszcz,bydgoskie,muzyka,1
220780,1997,1980,M,Poznań,poznańskie,humanistyka,2
220780,1998,1980,M,Poznań,poznańskie,humanistyka,2
386756,1997,1982,M,Kęty,małopolskie,matematyka,3
386756,1998,1982,M,Kęty,małopolskie,matematyka,3
386756,1999,1982,M,Kęty,małopolskie,matematyka,3
386756,2000,1982,M,Kęty,małopolskie,matematyka,3
142680,1997,1979,M,Kielce,kieleckie,matematyka,3
994868,1997,1980,M,Toruń,toruńskie,humanistyka,3
538850,1998,1984,K,Warszawa,warszawskie,matematyka,1
648177,2010,1995,K,Małkinia Górna,mazowieckie,matematyka,1
258405,1999,1985,M,Kowalewo Pomorskie,kujawsko-pomorskie,matematyka,1
258405,2000,1985,M,Kowalewo Pomorskie,kujawsko-pomorskie,matematyka,2
258405,2001,1985,M,Kowalewo Pomorskie,kujawsko-pomorskie,matematyka,3
258405,2002,1985,M,Kowalewo Pomorskie,kujawsko-pomorskie,matematyka,3
258405,2003,1985,M,Kowalewo Pomorskie,kujawsko-pomorskie,matematyka,3
629971,2006,1988,K,Siedlce,mazowieckie,biologia,1
