id_szkoly,nazwa_szkoly,adres,miejscowosc,kod_pocztowy,dzielnica
25302,Liceum Ogólnokształcące dla Dorosłych nr 48 MGM,Obrońców Tobruku 40,Warszawa,01-494,Bemowo
25300,Sportowe Liceum Ogólnokształcące nr 67 MGM,Obrońców Tobruku 40,Warszawa,01-494,Bemowo
25298,LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej - Jasnorzewskiej w Zespole Szkół nr 47,Anieli Krzywoń 3,Warszawa,01-391,Bemowo
25499,Liceum Ogólnokształcące Niepubliczne nr 29 im. Ignacego Jana Paderewskiego,Powązkowska 90,Warszawa,01-728,Bemowo
25303,CV Liceum Ogólnokształcące im. Zbigniewa Herberta,Vincenta van Gogha 1,Warszawa,03-188,Białołęka
25304,Niepubliczne Liceum Ogólnokształcące dla Dorosłych w Warszawie,Strumykowa 21,Warszawa,03-138,Białołęka
25319,Liceum Ogólnokształcące dla Dorosłych EXPERTUS,Kolektorska 9/11,Warszawa,01-692,Bielany
25317,LII Liceum Ogólnokształcące im. Wł. St. Reymonta,Żeromskiego 81,Warszawa,01-882,Bielany
25314,Liceum Ogólnokształcące Niepubliczne nr 43 im. Lotników Amerykańskich w Warszawie,Wóycickiego 1/3 bud. 18,Warszawa,01-938,Bielany
25313,LXXIV Liceum Ogólnokształcące im. Kazimierza Pułaskiego,Wrzeciono 24,Warszawa,01-963,Bielany
25318,CXXII Liceum Ogólnokształcące im. Ignacego Domeyki w Zespole Szkół nr 51 w Warszawie,L. Staffa 3/5,Warszawa,01-891,Bielany
25306,Katolickie Liceum Ogólnokształcące Im. bł. ks. Romana Archutowskiego,Dewajtis 3,Warszawa,01-815,Bielany
25315,XXII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Jose Marti w Warszawie,Staffa 111,Warszawa,01-884,Bielany
25316,XCIV Liceum Ogólnokształcące im. gen. St. Maczka w Zespole Szkół nr 55 w Warszawie,Gwiaździsta 35,Warszawa,01-651,Bielany
25309,LX LO im. Wojciecha Górskiego w Zespole Szkół nr 49,Tołstoja 2,Warszawa,01-910,Bielany
25310,XXXIX Liceum Ogólnokształcące im. Lotnictwa Polskiego,Zuga 16,Warszawa,01-806,Bielany
25311,Liceum Ogólnokształcące nr 13,Conrada 7,Warszawa,01-929,Bielany
25312,LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego w Zespole Szkół Sportowych nr 50 w Warszawie,S. Lindego 20,Warszawa,01-952,Bielany
77666,Liceum Ogólnokształcące Niepubliczne Kolegium św. Stanisława Kostki Katolickiego Stowarzyszenia Wychowawców,Bobrowiecka 9,Warszawa,00-728,Mokotów
25469,CX Liceum Ogólnokształcące im. Roberta Schumana w Zespole Szkół nr 59,Sobieskiego 68,Warszawa,02-930,Mokotów
