"Wiek",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,0.09911,0.10482,0.08587,0.07850,0.07380,0.07305,0.06281,0.06859,0.06336,0.06362,0.04830,0.04712,0.04746,0.04211,0.04127,0.03586,0.03331,0.03278,0.02926,0.02973,0.02902,0.02525,0.02406,0.02183,0.02040,0.02148,0.02056,0.02105,0.01915,0.01795,0.01783,0.01722,0.01772,0.01664,0.01632,0.01554,0.01460,0.01471,0.01348,0.01334,0.01697,0.01589,0.01547,0.01427,0.01374,0.01228,0.01090,0.00930,0.00861,0.00792,0.00733,0.00694,0.00679,0.00637,0.00615,0.00587,0.00529,0.00541,0.00517,0.00507,0.00452,0.00425,0.00426,0.00418
1,0.02258,0.02411,0.01793,0.01544,0.01388,0.01288,0.00967,0.01020,0.00854,0.00880,0.00637,0.00629,0.00575,0.00544,0.00514,0.00466,0.00439,0.00448,0.00395,0.00389,0.00372,0.00366,0.00345,0.00324,0.00283,0.00333,0.00263,0.00284,0.00275,0.00254,0.00275,0.00249,0.00242,0.00229,0.00235,0.00227,0.00221,0.00199,0.00198,0.00226,0.00209,0.00193,0.00195,0.00167,0.00188,0.00155,0.00158,0.00140,0.00127,0.00136,0.00111,0.00117,0.00108,0.00086,0.00091,0.00102,0.00101,0.00088,0.00093,0.00084,0.00079,0.00073,0.00059,0.00069
5,0.00667,0.00769,0.00622,0.00490,0.00501,0.00450,0.00361,0.00340,0.00268,0.00296,0.00219,0.00214,0.00221,0.00200,0.00204,0.00191,0.00176,0.00183,0.00175,0.00185,0.00184,0.00188,0.00175,0.00174,0.00147,0.00163,0.00178,0.00161,0.00164,0.00148,0.00158,0.00149,0.00145,0.00136,0.00120,0.00122,0.00112,0.00102,0.00106,0.00124,0.00110,0.00118,0.00100,0.00102,0.00099,0.00082,0.00097,0.00097,0.00085,0.00075,0.00067,0.00074,0.00077,0.00068,0.00061,0.00077,0.00065,0.00055,0.00053,0.00064,0.00050,0.00050,0.00045,0.00041
10,0.00491,0.00518,0.00457,0.00346,0.00292,0.00302,0.00237,0.00273,0.00213,0.00216,0.00175,0.00183,0.00178,0.00160,0.00148,0.00148,0.00142,0.00134,0.00142,0.00138,0.00149,0.00138,0.00136,0.00140,0.00112,0.00129,0.00110,0.00126,0.00133,0.00123,0.00115,0.00111,0.00125,0.00124,0.00115,0.00104,0.00097,0.00089,0.00087,0.00105,0.00109,0.00108,0.00090,0.00086,0.00079,0.00090,0.00086,0.00081,0.00080,0.00071,0.00071,0.00078,0.00079,0.00072,0.00070,0.00068,0.00073,0.00075,0.00063,0.00078,0.00058,0.00065,0.00059,0.00066
15,0.00878,0.00877,0.00783,0.00495,0.00453,0.00461,0.00404,0.00391,0.00334,0.00318,0.00277,0.00275,0.00261,0.00245,0.00229,0.00214,0.00230,0.00223,0.00210,0.00233,0.00213,0.00234,0.00209,0.00215,0.00201,0.00205,0.00201,0.00201,0.00203,0.00207,0.00181,0.00183,0.00199,0.00196,0.00181,0.00165,0.00165,0.00157,0.00162,0.00171,0.00172,0.00187,0.00172,0.00170,0.00176,0.00162,0.00159,0.00160,0.00149,0.00152,0.00145,0.00136,0.00144,0.00132,0.00132,0.00118,0.00122,0.00128,0.00142,0.00124,0.00104,0.00122,0.00111,0.00120
20,0.01216,0.01337,0.01161,0.00751,0.00754,0.00634,0.00598,0.00608,0.00482,0.00456,0.00415,0.00393,0.00391,0.00353,0.00331,0.00320,0.00308,0.00286,0.00304,0.00271,0.00288,0.00266,0.00263,0.00248,0.00238,0.00255,0.00236,0.00248,0.00251,0.00247,0.00238,0.00231,0.00232,0.00234,0.00206,0.00204,0.00197,0.00190,0.00182,0.00215,0.00188,0.00201,0.00194,0.00183,0.00176,0.00179,0.00168,0.00159,0.00170,0.00171,0.00152,0.00139,0.00143,0.00147,0.00136,0.00130,0.00130,0.00137,0.00128,0.00128,0.00111,0.00118,0.00115,0.00112
25,0.01328,0.01363,0.01254,0.00869,0.00838,0.00748,0.00702,0.00701,0.00620,0.00602,0.00550,0.00495,0.00509,0.00463,0.00410,0.00400,0.00365,0.00341,0.00328,0.00339,0.00328,0.00349,0.00306,0.00318,0.00293,0.00305,0.00289,0.00316,0.00319,0.00302,0.00288,0.00297,0.00288,0.00280,0.00289,0.00281,0.00264,0.00266,0.00243,0.00241,0.00243,0.00246,0.00232,0.00209,0.00221,0.00219,0.00203,0.00200,0.00195,0.00198,0.00186,0.00177,0.00161,0.00167,0.00162,0.00153,0.00147,0.00163,0.00155,0.00154,0.00134,0.00137,0.00127,0.00130
30,0.01533,0.01448,0.01334,0.01034,0.01029,0.00918,0.00857,0.00867,0.00766,0.00763,0.00673,0.00654,0.00656,0.00620,0.00558,0.00547,0.00515,0.00476,0.00450,0.00446,0.00451,0.00481,0.00443,0.00435,0.00411,0.00426,0.00421,0.00441,0.00441,0.00419,0.00431,0.00405,0.00415,0.00413,0.00434,0.00374,0.00376,0.00401,0.00384,0.00390,0.00382,0.00403,0.00360,0.00345,0.00339,0.00336,0.00310,0.00292,0.00284,0.00279,0.00270,0.00255,0.00254,0.00241,0.00234,0.00247,0.00233,0.00225,0.00223,0.00234,0.00206,0.00210,0.00199,0.00189
35,0.01785,0.01720,0.01610,0.01343,0.01282,0.01194,0.01136,0.01144,0.00979,0.00992,0.00900,0.00862,0.00852,0.00855,0.00808,0.00783,0.00730,0.00728,0.00702,0.00741,0.00678,0.00707,0.00646,0.00626,0.00622,0.00624,0.00631,0.00613,0.00634,0.00619,0.00666,0.00646,0.00610,0.00618,0.00665,0.00670,0.00656,0.00647,0.00616,0.00612,0.00647,0.00682,0.00622,0.00597,0.00579,0.00572,0.00542,0.00526,0.00519,0.00508,0.00457,0.00426,0.00425,0.00403,0.00385,0.00410,0.00412,0.00376,0.00376,0.00381,0.00354,0.00355,0.00330,0.00311
40,0.02029,0.02069,0.01996,0.01637,0.01619,0.01591,0.01492,0.01555,0.01394,0.01353,0.01247,0.01221,0.01247,0.01271,0.01162,0.01081,0.01102,0.01044,0.01071,0.01069,0.01043,0.01072,0.00991,0.01000,0.01017,0.00961,0.01003,0.00987,0.00990,0.00962,0.01041,0.00992,0.00953,0.00978,0.00990,0.01075,0.01032,0.01063,0.01040,0.01058,0.01073,0.01115,0.01109,0.01008,0.00997,0.00988,0.00962,0.00914,0.00908,0.00897,0.00851,0.00808,0.00747,0.00747,0.00746,0.00727,0.00747,0.00710,0.00688,0.00668,0.00620,0.00608,0.00583,0.00551
