"Wiek",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,0.12062,0.12727,0.10486,0.09691,0.09153,0.09072,0.07737,0.08426,0.07951,0.07772,0.06057,0.05842,0.06010,0.05444,0.05246,0.04645,0.04336,0.04263,0.03739,0.03888,0.03742,0.03268,0.03179,0.02969,0.02655,0.02815,0.02713,0.02851,0.02628,0.02431,0.02398,0.02315,0.02298,0.02185,0.02083,0.02024,0.01864,0.01919,0.01787,0.01747,0.02163,0.02029,0.01923,0.01785,0.01638,0.01454,0.01341,0.01092,0.01034,0.00965,0.00882,0.00830,0.00813,0.00764,0.00744,0.00697,0.00666,0.00657,0.00618,0.00604,0.00537,0.00508,0.00503,0.00496
1,0.02392,0.02635,0.01904,0.01656,0.01453,0.01382,0.01030,0.01121,0.00961,0.00958,0.00704,0.00706,0.00645,0.00667,0.00566,0.00550,0.00532,0.00521,0.00480,0.00469,0.00466,0.00481,0.00413,0.00408,0.00375,0.00395,0.00357,0.00352,0.00371,0.00338,0.00357,0.00328,0.00295,0.00295,0.00291,0.00282,0.00279,0.00275,0.00256,0.00264,0.00278,0.00244,0.00236,0.00210,0.00216,0.00193,0.00189,0.00169,0.00151,0.00173,0.00144,0.00142,0.00141,0.00128,0.00117,0.00116,0.00117,0.00115,0.00118,0.00090,0.00086,0.00090,0.00092,0.00079
5,0.00785,0.00864,0.00762,0.00626,0.00633,0.00551,0.00449,0.00471,0.00394,0.00389,0.00331,0.00334,0.00316,0.00302,0.00266,0.00263,0.00278,0.00272,0.00285,0.00269,0.00264,0.00277,0.00279,0.00251,0.00227,0.00261,0.00224,0.00244,0.00243,0.00231,0.00236,0.00234,0.00248,0.00209,0.00195,0.00177,0.00180,0.00163,0.00173,0.00181,0.00162,0.00151,0.00144,0.00135,0.00132,0.00137,0.00134,0.00119,0.00115,0.00122,0.00103,0.00102,0.00102,0.00100,0.00092,0.00084,0.00088,0.00075,0.00078,0.00075,0.00062,0.00069,0.00062,0.00056
10,0.00665,0.00674,0.00603,0.00570,0.00528,0.00435,0.00403,0.00400,0.00327,0.00346,0.00297,0.00309,0.00295,0.00287,0.00249,0.00220,0.00227,0.00240,0.00227,0.00207,0.00231,0.00232,0.00220,0.00213,0.00189,0.00218,0.00200,0.00200,0.00203,0.00224,0.00204,0.00222,0.00207,0.00202,0.00189,0.00186,0.00186,0.00164,0.00157,0.00178,0.00173,0.00181,0.00167,0.00144,0.00147,0.00150,0.00137,0.00134,0.00131,0.00128,0.00114,0.00115,0.00124,0.00110,0.00107,0.00100,0.00113,0.00110,0.00090,0.00092,0.00088,0.00081,0.00076,0.00082
15,0.01136,0.01145,0.01024,0.00869,0.00778,0.00730,0.00660,0.00699,0.00628,0.00658,0.00583,0.00566,0.00577,0.00555,0.00466,0.00454,0.00505,0.00499,0.00513,0.00506,0.00500,0.00530,0.00506,0.00504,0.00448,0.00504,0.00504,0.00502,0.00491,0.00485,0.00510,0.00543,0.00495,0.00526,0.00466,0.00452,0.00466,0.00451,0.00449,0.00512,0.00521,0.00518,0.00510,0.00454,0.00480,0.00447,0.00415,0.00441,0.00433,0.00426,0.00370,0.00344,0.00366,0.00318,0.00306,0.00334,0.00329,0.00350,0.00358,0.00355,0.00322,0.00318,0.00315,0.00316
20,0.01787,0.01870,0.01691,0.01317,0.01198,0.01080,0.01011,0.01040,0.00980,0.00992,0.00898,0.00983,0.00957,0.00913,0.00824,0.00811,0.00801,0.00800,0.00856,0.00818,0.00810,0.00900,0.00873,0.00839,0.00755,0.00867,0.00844,0.00914,0.00886,0.00882,0.00899,0.00832,0.00829,0.00826,0.00747,0.00748,0.00728,0.00692,0.00649,0.00793,0.00833,0.00859,0.00783,0.00673,0.00711,0.00680,0.00660,0.00678,0.00661,0.00658,0.00600,0.00572,0.00580,0.00562,0.00551,0.00562,0.00537,0.00543,0.00547,0.00558,0.00528,0.00533,0.00503,0.00497
25,0.01776,0.01807,0.01653,0.01259,0.01219,0.01234,0.01181,0.01231,0.01090,0.01088,0.01001,0.01122,0.01064,0.01049,0.00938,0.00918,0.00927,0.00921,0.00921,0.00887,0.00947,0.00975,0.00911,0.00929,0.00897,0.00935,0.00866,0.01027,0.01034,0.01026,0.01067,0.00943,0.00949,0.00970,0.00935,0.00904,0.00845,0.00831,0.00829,0.00927,0.00937,0.00959,0.00911,0.00814,0.00804,0.00822,0.00748,0.00789,0.00724,0.00753,0.00662,0.00637,0.00660,0.00612,0.00632,0.00624,0.00593,0.00596,0.00607,0.00569,0.00556,0.00557,0.00556,0.00529
30,0.02069,0.01965,0.01790,0.01402,0.01420,0.01348,0.01252,0.01313,0.01273,0.01266,0.01200,0.01269,0.01266,0.01191,0.01135,0.01109,0.01091,0.01150,0.01070,0.01120,0.01105,0.01181,0.01151,0.01141,0.01112,0.01178,0.01256,0.01280,0.01352,0.01255,0.01305,0.01146,0.01142,0.01216,0.01221,0.01224,0.01193,0.01158,0.01182,0.01239,0.01317,0.01318,0.01266,0.01130,0.01170,0.01143,0.01050,0.01057,0.01012,0.01014,0.00909,0.00875,0.00867,0.00846,0.00866,0.00833,0.00822,0.00838,0.00829,0.00783,0.00744,0.00757,0.00692,0.00668
35,0.02313,0.02435,0.02266,0.01769,0.01749,0.01694,0.01572,0.01632,0.01479,0.01598,0.01447,0.01464,0.01563,0.01531,0.01421,0.01450,0.01476,0.01506,0.01480,0.01496,0.01512,0.01603,0.01534,0.01576,0.01485,0.01622,0.01750,0.01796,0.01805,0.01821,0.01927,0.01646,0.01629,0.01619,0.01728,0.01770,0.01717,0.01719,0.01713,0.01848,0.01917,0.02019,0.01935,0.01756,0.01775,0.01814,0.01649,0.01663,0.01606,0.01578,0.01440,0.01354,0.01297,0.01326,0.01324,0.01338,0.01312,0.01311,0.01273,0.01231,0.01160,0.01165,0.01085,0.01022
40,0.03041,0.03093,0.03041,0.02449,0.02391,0.02343,0.02264,0.02425,0.02127,0.02127,0.02014,0.01923,0.01972,0.02005,0.01949,0.01946,0.01985,0.02067,0.02135,0.02187,0.02203,0.02346,0.02183,0.02261,0.02181,0.02329,0.02475,0.02631,0.02724,0.02631,0.02955,0.02552,0.02463,0.02609,0.02785,0.02801,0.02704,0.02686,0.02696,0.02808,0.02926,0.03165,0.03060,0.02783,0.02766,0.02872,0.02634,0.02679,0.02585,0.02578,0.02364,0.02257,0.02175,0.02151,0.02147,0.02161,0.02187,0.02184,0.02110,0.01991,0.01887,0.01842,0.01748,0.01650
45,0.04481,0.04488,0.04243,0.03606,0.03615,0.03532,0.03304,0.03423,0.03117,0.03083,0.02957,0.03004,0.03065,0.03039,0.02767,0.02801,0.02704,0.02924,0.02964,0.03181,0.03160,0.03340,0.03218,0.03362,0.03300,0.03655,0.03823,0.03974,0.04146,0.04019,0.04359,0.03769,0.03733,0.03977,0.04164,0.04327,0.04316,0.04338,0.04169,0.04395,0.04521,0.04841,0.04651,0.04207,0.04210,0.04320,0.04039,0.04122,0.03978,0.04013,0.03713,0.03601,0.03530,0.03473,0.03588,0.03596,0.03597,0.03606,0.03508,0.03236,0.03103,0.02991,0.02885,0.02687
50,0.06698,0.06979,0.06559,0.05832,0.05784,0.05601,0.05397,0.05386,0.04891,0.05017,0.04735,0.04760,0.04817,0.04581,0.04508,0.04398,0.04473,0.04665,0.04621,0.04696,0.04774,0.04966,0.04786,0.05021,0.04960,0.05244,0.05533,0.05749,0.05898,0.05834,0.06369,0.05898,0.05865,0.05950,0.06381,0.06562,0.06544,0.06509,0.06390,0.06661,0.06744,0.07191,0.06880,0.06485,0.06307,0.06404,0.06237,0.06099,0.05976,0.05994,0.05578,0.05479,0.05395,0.05285,0.05487,0.05463,0.05531,0.05537,0.05397,0.05112,0.04968,0.04800,0.04643,0.04388
55,0.09861,0.10254,0.09833,0.09328,0.09462,0.09003,0.08636,0.08994,0.07817,0.08191,0.07519,0.07654,0.07704,0.07444,0.07217,0.07055,0.07005,0.07326,0.07343,0.07694,0.07570,0.07683,0.07077,0.07341,0.07225,0.07590,0.07860,0.08227,0.08420,0.08527,0.08985,0.08659,0.08605,0.08831,0.09281,0.09562,0.09612,0.09655,0.09561,0.09702,0.09927,0.10322,0.09972,0.09576,0.09246,0.09353,0.09116,0.08901,0.08773,0.08722,0.08140,0.07960,0.07782,0.07830,0.07858,0.07862,0.07939,0.07909,0.07741,0.07640,0.07368,0.07179,0.07010,0.06790
60,0.14791,0.15034,0.14815,0.13606,0.13015,0.13209,0.13366,0.14520,0.12537,0.12835,0.11990,0.12032,0.12331,0.11730,0.12047,0.11360,0.11404,0.11613,0.11597,0.12279,0.12108,0.12594,0.11406,0.11478,0.11307,0.11685,0.11870,0.11803,0.11938,0.11909,0.12686,0.12325,0.12258,0.12768,0.13135,0.13672,0.13804,0.13859,0.13665,0.13878,0.14082,0.14666,0.14024,0.13710,0.13214,0.13307,0.13034,0.12888,0.12618,0.12714,0.11956,0.11616,0.11347,0.11268,0.11151,0.11059,0.11021,0.10964,0.10748,0.10760,0.10342,0.10161,0.10040,0.09866
65,0.20861,0.21840,0.21504,0.20562,0.23115,0.19832,0.19786,0.21188,0.17942,0.19350,0.18163,0.18137,0.18859,0.18312,0.18676,0.17986,0.17681,0.18304,0.18163,0.18865,0.18665,0.20014,0.17789,0.18229,0.17687,0.18086,0.18354,0.18218,0.18477,0.17981,0.19164,0.17851,0.17814,0.17724,0.18174,0.19175,0.19333,0.19332,0.18835,0.19356,0.19583,0.20008,0.19600,0.19416,0.18798,0.18524,0.18341,0.18173,0.17877,0.18013,0.17087,0.16714,0.16084,0.16020,0.15703,0.15517,0.15196,0.15164,0.14743,0.14699,0.14241,0.13872,0.13727,0.13583
70,0.30967,0.31923,0.30917,0.30655,0.32743,0.30140,0.29196,0.30568,0.26618,0.28285,0.26179,0.28203,0.28850,0.26014,0.27308,0.26501,0.25709,0.27280,0.27098,0.28569,0.28416,0.30158,0.26357,0.27328,0.26311,0.27012,0.27380,0.27495,0.28435,0.27089,0.28570,0.26738,0.26329,0.26606,0.26681,0.27886,0.27367,0.27281,0.26906,0.26779,0.26967,0.27484,0.26782,0.26667,0.26182,0.25937,0.25792,0.25142,0.24815,0.24934,0.24127,0.23195,0.22775,0.22606,0.22019,0.21570,0.21170,0.21115,0.20482,0.20320,0.19797,0.19072,0.18920,0.18703
75,0.42262,0.44682,0.42677,0.42774,0.46747,0.39714,0.39864,0.40375,0.36551,0.39707,0.37787,0.38522,0.39779,0.37594,0.38728,0.37132,0.37208,0.38402,0.36861,0.39018,0.37717,0.43228,0.38197,0.39763,0.38314,0.39945,0.39048,0.39743,0.40416,0.39167,0.41280,0.38062,0.37987,0.38954,0.38954,0.40615,0.39535,0.39388,0.38274,0.37961,0.38227,0.38673,0.37149,0.37297,0.36396,0.35995,0.35924,0.34838,0.33835,0.34344,0.33328,0.32242,0.31879,0.32138,0.30921,0.30626,0.30031,0.29827,0.29290,0.29133,0.28189,0.27286,0.27192,0.26838
80,0.54819,0.58594,0.57714,0.55218,0.60931,0.54037,0.55947,0.60828,0.55491,0.57650,0.52692,0.49795,0.54067,0.53424,0.53833,0.51396,0.50314,0.53401,0.48339,0.50008,0.51840,0.55176,0.50585,0.51850,0.51347,0.52945,0.52778,0.54081,0.55328,0.53441,0.56724,0.52269,0.53010,0.53161,0.54031,0.56090,0.54078,0.53484,0.51860,0.52155,0.52424,0.53045,0.51284,0.51434,0.50146,0.49404,0.49281,0.47989,0.46138,0.46655,0.44851,0.43617,0.43687,0.44831,0.43609,0.42780,0.42158,0.41922,0.41520,0.41648,0.39930,0.38953,0.38876,0.38363
