Country Code,Country Name,Land area
AFG,Afghanistan,652230
ALB,Albania,27400
DZA,Algeria,2381740
ASM,American Samoa,200
AND,Andorra,470
AGO,Angola,1246700
ATG,Antigua and Barbuda,440
ARG,Argentina,2736690
ARM,Armenia,28480
ABW,Aruba,180
AUS,Australia,7682300
AUT,Austria,82430
AZE,Azerbaijan,82620
BHS,"Bahamas, The",10010
BHR,Bahrain,760
BGD,Bangladesh,130170
BRB,Barbados,430
BLR,Belarus,202820
BEL,Belgium,30280
BLZ,Belize,22810
BEN,Benin,110620
BMU,Bermuda,50
BTN,Bhutan,38390
BOL,Bolivia,1083300
BIH,Bosnia and Herzegovina,51000
BWA,Botswana,566730
BRA,Brazil,8459420
BRN,Brunei Darussalam,5270
BGR,Bulgaria,108560
BFA,Burkina Faso,273600
BDI,Burundi,25680
KHM,Cambodia,176520
CMR,Cameroon,472710
CAN,Canada,9093510
CPV,Cape Verde,4030
CYM,Cayman Islands,240
CAF,Central African Republic,622980
TCD,Chad,1259200
CHI,Channel Islands,190
CHL,Chile,743530
CHN,China,9327480
COL,Colombia,1109500
COM,Comoros,1860
COD,"Congo, Dem. Rep.",2267050
COG,"Congo, Rep.",341500
CRI,Costa Rica,51060
CIV,Cote d'Ivoire,318000
HRV,Croatia,55960
CUB,Cuba,106440
CUW,Curacao,444
CYP,Cyprus,9240
CZE,Czech Republic,77250
DNK,Denmark,42430
DJI,Djibouti,23180
DMA,Dominica,750
DOM,Dominican Republic,48320
ECU,Ecuador,248360
EGY,"Egypt, Arab Rep.",995450
SLV,El Salvador,20720
GNQ,Equatorial Guinea,28050
ERI,Eritrea,101000
EST,Estonia,42390
ETH,Ethiopia,1000000
FRO,Faeroe Islands,1390
FJI,Fiji,18270
FIN,Finland,303900
FRA,France,547660
PYF,French Polynesia,3660
GAB,Gabon,257670
GMB,"Gambia, The",10000
GEO,Georgia,69490
DEU,Germany,348610
GHA,Ghana,227540
GIB,Gibraltar,10
GRC,Greece,128900
GRL,Greenland,2166086
GRD,Grenada,340
GUM,Guam,540
GTM,Guatemala,107160
GIN,Guinea,245720
GNB,Guinea-Bissau,28120
GUY,Guyana,196850
HTI,Haiti,27560
HND,Honduras,111890
HKG,"Hong Kong SAR, China",1042
HUN,Hungary,90530
ISL,Iceland,100250
IND,India,2973190
IDN,Indonesia,1811570
IRN,"Iran, Islamic Rep.",1628550
IRQ,Iraq,434320
IRL,Ireland,68890
IMN,Isle of Man,570
ISR,Israel,21640
ITA,Italy,294140
JAM,Jamaica,10830
JPN,Japan,364500
JOR,Jordan,88780
KAZ,Kazakhstan,2699700
KEN,Kenya,569140
KIR,Kiribati,810
PRK,"Korea, Dem. Rep.",120410
KOR,"Korea, Rep.",97100
KSV,Kosovo,10887
KWT,Kuwait,17820
KGZ,Kyrgyz Republic,191800
LAO,Lao PDR,230800
LVA,Latvia,62180
LBN,Lebanon,10230
LSO,Lesotho,30360
LBR,Liberia,96320
LBY,Libya,1759540
LIE,Liechtenstein,160
LTU,Lithuania,62670
LUX,Luxembourg,2590
MAC,"Macao SAR, China",28
MKD,"Macedonia, FYR",25220
MDG,Madagascar,581540
MWI,Malawi,94280
MYS,Malaysia,328550
MDV,Maldives,300
MLI,Mali,1220190
MLT,Malta,320
MHL,Marshall Islands,180
MRT,Mauritania,1030700
MUS,Mauritius,2030
MYT,Mayotte,370
MEX,Mexico,1943950
FSM,"Micronesia, Fed. Sts.",700
MDA,Moldova,32890
MCO,Monaco,2
MNG,Mongolia,1553560
MNE,Montenegro,13450
MAR,Morocco,446300
MOZ,Mozambique,786380
MMR,Myanmar,653520
NAM,Namibia,823290
NPL,Nepal,143350
NLD,Netherlands,33730
NCL,New Caledonia,18280
NZL,New Zealand,263310
NIC,Nicaragua,120340
NER,Niger,1266700
NGA,Nigeria,910770
MNP,Northern Mariana Islands,460
NOR,Norway,305470
OMN,Oman,309500
PAK,Pakistan,770880
PLW,Palau,460
PAN,Panama,74340
PNG,Papua New Guinea,452860
PRY,Paraguay,397300
PER,Peru,1280000
PHL,Philippines,298170
POL,Poland,304200
PRT,Portugal,91470
PRI,Puerto Rico,8870
QAT,Qatar,11590
ROU,Romania,230060
RUS,Russian Federation,16376870
RWA,Rwanda,24670
WSM,Samoa,2830
SMR,San Marino,60
STP,Sao Tome and Principe,960
SAU,Saudi Arabia,2149690
SEN,Senegal,192530
SRB,Serbia,87460
SYC,Seychelles,460
SLE,Sierra Leone,71620
SGP,Singapore,700
SXM,Sint Maarten (Dutch part),34
SVK,Slovak Republic,48090
SVN,Slovenia,20140
SLB,Solomon Islands,27990
SOM,Somalia,627340
ZAF,South Africa,1214470
SSD,South Sudan,
ESP,Spain,498800
LKA,Sri Lanka,62710
KNA,St. Kitts and Nevis,260
LCA,St. Lucia,610
MAF,St. Martin (French part),54.4
VCT,St. Vincent and the Grenadines,390
SDN,Sudan,2376000
SUR,Suriname,156000
SWZ,Swaziland,17200
SWE,Sweden,410340
CHE,Switzerland,40000
SYR,Syrian Arab Republic,183630
TJK,Tajikistan,139960
TZA,Tanzania,885800
THA,Thailand,510890
TLS,Timor-Leste,14870
TGO,Togo,54390
TON,Tonga,720
TTO,Trinidad and Tobago,5130
TUN,Tunisia,155360
TUR,Turkey,769630
TKM,Turkmenistan,469930
TCA,Turks and Caicos Islands,950
TUV,Tuvalu,30
UGA,Uganda,199810
UKR,Ukraine,579320
ARE,United Arab Emirates,83600
GBR,United Kingdom,241930
USA,United States,9147420
URY,Uruguay,175020
UZB,Uzbekistan,425400
VUT,Vanuatu,12190
VEN,"Venezuela, RB",882050
VNM,Vietnam,310070
VIR,Virgin Islands (U.S.),350
PSE,West Bank and Gaza,6020
YEM,"Yemen, Rep.",527970
ZMB,Zambia,743390
ZWE,Zimbabwe,386850
